metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Asus TUF Gaming H3 Closed-Back Gaming Headset,ASUS,90YH025S-B1UA00,TUF GAMING H3 RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE140-D Closed Earbuds,Panasonic,RP-HJE140-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Tactic3D Rage Closed Wireless Gaming Headset,Creative Labs,70GH022000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS80 RGB Pink Elixir Closed Gaming Headset,Corsair,CA-901123A-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRNC8/BLK ,Sony,MDRNC8,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CL-AUD23039 Closed-Back Headphones Brown,Syba,CL-AUD23039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Pathfinder Closed Wired Headphones Black / White,Koss,IVG-KSSPATHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB400/BLK ,Sony,MDR-XB400,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE2105PK/28 Closed Earbud,Philips,SHE2105PK,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser OCX 686G Closed Earbud,Sennheiser,OCX 686G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6HSGY-384 Closed Headphones,Skullcandy,S6HSGY-384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
